bucket,n,raw_prob_mean,observed_frequency,calibrated_prob_mean
"[0.0, 0.1]",14542,0.0049871071071418875,0.20939348095172602,0.2091771185900554
"(0.1, 0.2]",238,0.14354807343709577,0.2773109243697479,0.28027380249086725
"(0.2, 0.3]",104,0.2448757729855955,0.4230769230769231,0.40137272857861095
"(0.3, 0.4]",91,0.348984643075642,0.5494505494505495,0.5265246281930328
"(0.4, 0.5]",48,0.44950455793448274,0.5208333333333334,0.5875912408759124
"(0.5, 0.6]",20,0.5507982524809005,0.7,0.5875912408759125
"(0.6, 0.7]",13,0.6470685198305378,0.5384615384615384,0.5875912408759125
"(0.7, 0.8]",9,0.7397896404564799,0.4444444444444444,0.5875912408759124
"(0.8, 0.9]",11,0.8562705841698491,0.7272727272727273,0.5875912408759125
"(0.9, 1.0]",690,0.9966097358793822,0.6840579710144927,0.6919390669628689
