bucket,n,raw_prob_mean,observed_frequency,calibrated_prob_mean
"[0.0, 0.1]",73790,0.013344981661158295,5.4207887247594525e-05,4.753590112532566e-05
"(0.1, 0.2]",6746,0.14523981096686978,0.00696709160984287,0.0065594820293693006
"(0.2, 0.3]",4252,0.24735481102430434,0.05385700846660395,0.053224161160999206
"(0.3, 0.4]",3333,0.3487809006789645,0.207020702070207,0.2076533460860918
"(0.4, 0.5]",3089,0.4498958870995145,0.4282939462609259,0.42698517795071955
"(0.5, 0.6]",2957,0.5497343909928698,0.6733175515725397,0.6725097381403663
"(0.6, 0.7]",3264,0.6507329565802525,0.8514093137254902,0.8528646529905973
"(0.7, 0.8]",3797,0.7519245615675275,0.9594416644719516,0.9600358001929988
"(0.8, 0.9]",5649,0.8554679372068663,0.9932731456895025,0.9937013629765326
"(0.9, 1.0]",74244,0.9901038594590111,0.9999865308981197,0.9999977190588456
